Location,Last location,Next location,FullEmpty,With customer,ContainerType,ContainerSize,Owner,count
FO THO,,,Full,True,22R1,20.0,CARRIER,1
FO THO,,,Full,True,25G1,20.0,CARRIER,1
FO THO,,,Full,True,42P3,40.0,CARRIER,1
FO THO,,,Full,True,42U1,40.0,CARRIER,1
FO THO,,,Full,True,45G1,40.0,CARRIER,4
FO THO,,,Full,True,45P3,40.0,CARRIER,1
FO THO,,,Full,True,45R1,40.0,CARRIER,1
FO THO,,,Full,True,45R1,40.0,ONEWAY,1
FO THO,,,Full,True,45U1,40.0,CARRIER,1
FO THO,,,Full,True,45U1,40.0,ONEWAY,1
FO THO,,,Full,True,4EG1,40.0,CARRIER,1
FO THO,,,Full,True,55P3,45.0,CARRIER,1
FO TVO,,,Empty,False,45G1,40.0,CARRIER,1
FO TVO,,,Full,False,22G1,20.0,CARRIER,1
GB IMM,,,Empty,False,22G1,20.0,CARRIER,3
GB IMM,,,Empty,False,22H5,20.0,CARRIER,1
GB IMM,,,Empty,False,22K0,20.0,CARRIER,1
GB IMM,,,Empty,False,22R1,20.0,CARRIER,1
GB IMM,,,Empty,False,22U1,20.0,CARRIER,1
GB IMM,,,Empty,False,42P3,40.0,CARRIER,1
GB IMM,,,Empty,False,45G1,40.0,CARRIER,1
GB IMM,,,Empty,False,45H5,40.0,CARRIER,1
GB IMM,,,Empty,False,45P3,40.0,CARRIER,1
GB IMM,,,Empty,False,45R1,40.0,CARRIER,5
GB IMM,,,Empty,False,LNRB,45.0,CARRIER,2
GB IMM,,,Empty,True,45G1,40.0,CARRIER,1
GB IMM,,,Empty,True,45R1,40.0,CARRIER,3
GB IMM,,,Full,False,22G1,20.0,CARRIER,1
GB IMM,,,Full,False,22G1,20.0,SHIPPER,1
GB IMM,,,Full,False,42P3,40.0,CARRIER,1
GB IMM,,,Full,False,45G1,40.0,CARRIER,1
GB IMM,,,Full,False,45R1,40.0,CARRIER,2
GB IMM,,,Full,True,22G1,20.0,CARRIER,1
GB IMM,,,Full,True,45G1,40.0,CARRIER,2
GB IMM,,,Full,True,45R1,40.0,CARRIER,1
GB IMM,,,Full,True,LNRB,45.0,CARRIER,1
GB TEE,,,Empty,False,22G1,20.0,CARRIER,7
GB TEE,,,Empty,False,22U1,20.0,CARRIER,1
GB TEE,,,Empty,False,42P3,40.0,CARRIER,2
GB TEE,,,Empty,False,42U1,40.0,CARRIER,1
GB TEE,,,Empty,False,45G1,40.0,CARRIER,2
GB TEE,,,Empty,False,45GB,40.0,CARRIER,1
GB TEE,,,Empty,False,45R1,40.0,CARRIER,2
GB TEE,,,Empty,False,45U1,40.0,CARRIER,1
GB TEE,,,Empty,False,4EG1,40.0,CARRIER,1
GB TEE,,,Empty,True,42P3,40.0,CARRIER,1
GB TEE,,,Empty,True,45G1,40.0,CARRIER,2
GB TEE,,,Empty,True,45P3,40.0,CARRIER,1
GB TEE,,,Empty,True,45R1,40.0,CARRIER,1
GB TEE,,,Empty,True,4EG1,40.0,CARRIER,1
GB TEE,,,Full,False,22G1,20.0,CARRIER,1
GB TEE,,,Full,False,45G1,40.0,CARRIER,1
GB TEE,,,Full,False,45R1,40.0,CARRIER,1
GB TEE,,,Full,False,4EG1,40.0,CARRIER,1
IE DUB,,,Empty,False,45G1,40.0,CARRIER,1
IS AKR,,,Empty,False,22G1,20.0,CARRIER,1
IS AKU,,,Empty,False,22G1,20.0,CARRIER,1
IS AKU,,,Empty,False,22H5,20.0,CARRIER,1
IS AKU,,,Empty,False,22K0,20.0,SHIPPER,1
IS AKU,,,Empty,False,22U1,20.0,CARRIER,1
IS AKU,,,Empty,False,42G1,40.0,ONEWAY,1
IS AKU,,,Empty,False,42P3,40.0,CARRIER,1
IS AKU,,,Empty,False,42U1,40.0,CARRIER,1
IS AKU,,,Empty,False,45G1,40.0,CARRIER,4
IS AKU,,,Empty,False,45G1,40.0,ONEWAY,1
IS AKU,,,Empty,False,45P3,40.0,CARRIER,1
IS AKU,,,Empty,False,45R1,40.0,CARRIER,4
IS AKU,,,Empty,False,45RB,40.0,CARRIER,1
IS AKU,,,Empty,False,45U1,40.0,CARRIER,1
IS AKU,,,Empty,False,4EG1,40.0,CARRIER,1
IS AKU,,,Empty,False,LNRB,45.0,CARRIER,1
IS AKU,,,Empty,True,42G1,40.0,CARRIER,1
IS AKU,,,Empty,True,45G1,40.0,CARRIER,1
IS AKU,,,Empty,True,45G1,40.0,ONEWAY,1
IS AKU,,,Empty,True,45R1,40.0,CARRIER,1
IS AKU,,,Empty,True,45RB,40.0,CARRIER,1
IS AKU,,,Full,False,22G1,20.0,ONEWAY,2
IS AKU,,,Full,False,22K2,20.0,CARRIER,1
