Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,ContractType,Count,Truncated,FinalDestination,Commodity
2025,3,SE HEL,406,IS REY,508,4EG1,40.0,CARRIER,LONG,1,False,IS REY,k249_4EG1_40_CARRIER
2025,3,SE HEL,406,IS REY,508,45R1,40.0,CARRIER,LONG,2,False,IS REY,k250_45R1_40_CARRIER
2025,3,SE HEL,406,IS REY,508,45G1,40.0,LEASED,MASTER,1,False,IS REY,k251_45G1_40_LEASED
2025,3,US PWM,468,IS REY,702,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,GB IMM,k252_45G1_40_CARRIER
2025,3,US PWM,468,IS REY,702,45G1,40.0,CARRIER,CABOTAGE,1,True,GB IMM,k253_45G1_40_CARRIER
2025,3,US PWM,468,IS REY,702,22G1,20.0,CARRIER,LONG,1,False,IS REY,k254_22G1_20_CARRIER
2025,3,US PWM,468,IS REY,702,45G1,40.0,CARRIER,LONG,1,True,DE BRV,k255_45G1_40_CARRIER
2025,3,US PWM,468,IS REY,702,45R1,40.0,CARRIER,LONG,3,True,NL RTM,k256_45R1_40_CARRIER
2025,3,US PWM,468,IS REY,702,45R1,40.0,CARRIER,LONG,1,False,IS REY,k257_45R1_40_CARRIER
2025,3,US PWM,468,IS REY,702,45R1,40.0,CARRIER,LONG,1,True,GB IMM,k258_45R1_40_CARRIER
2025,3,US PWM,468,IS REY,702,45G1,40.0,LEASED,MASTER,1,True,NL RTM,k259_45G1_40_LEASED
2025,3,US PWM,468,IS REY,702,22K0,20.0,SHIPPER,,1,True,NL RTM,k260_22K0_20_SHIPPER
2025,4,FO THO,452,IS REY,709,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,CA HAL,k261_45R1_40_CARRIER
2025,4,FO THO,452,IS REY,709,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,CA NWP,k262_45R1_40_CARRIER
2025,4,FO THO,452,IS REY,709,45R1,40.0,CARRIER,LONG,1,True,NL RTM,k263_45R1_40_CARRIER
2025,4,FO THO,452,IS REY,709,45R1,40.0,LEASED,ONEWAY,1,True,US PWM,k264_45R1_40_LEASED
2025,4,IS REY,264,IS GRT,536,22G1,20.0,LEASED,ONEWAY,4,False,IS GRT,k265_22G1_20_LEASED
